w,p,LL_diff,LL_diff_log
0.24,0.23,98.48696321,1.993378746
0.25,0.23,85.23605998,1.930623366
0.26,0.23,116.2448914,2.065373876
0.27,0.23,119.054438,2.075745589
0.28,0.23,132.9925225,2.123827223
0.29,0.23,786.9234103,2.895932465
0.3,0.23,532.332251,2.726182778
0.31,0.23,65.51278595,1.816326068
0.32,0.23,1557.569781,3.192447513
0.33,0.23,743.9163257,2.87152409
0.34,0.23,601.4804434,2.779221511
0.35,0.23,227.3981066,2.356786844
0.36,0.23,283.2015472,2.452095622
0.37,0.23,1458.494653,3.163904841
0.38,0.23,534.2125774,2.727714109
0.39,0.23,335.8232643,2.526110779
0.4,0.23,1503.750369,3.177175747
0.41,0.23,746.8871702,2.873254999
0.42,0.23,3760.487811,3.575244185
0.43,0.23,1077.166733,3.032282932
0.44,0.23,2077.678858,3.317578421
0.45,0.23,958.1938445,2.981453377
0.46,0.23,1631.674634,3.212633562
0.47,0.23,4315.267687,3.635007741
0.48,0.23,4217.561092,3.625061382
0.49,0.23,1108.192393,3.044615165
0.5,0.23,10612.24207,4.025807148
0.51,0.23,4287.465077,3.632200596
0.52,0.23,8544.525726,3.931687962
0.53,0.23,6371.796665,3.804261908
0.54,0.23,2860.651615,3.45646497
0.55,0.23,3403.641995,3.531943873
0.56,0.23,2958.693292,3.471099947
0.57,0.23,7066.148092,3.849182735
0.58,0.23,1103.4276,3.042743843
0.59,0.23,10153.964,4.006635619
0.6,0.23,4827.809188,3.683750097
0.61,0.23,701.1685608,2.845822435
0.62,0.23,3635.587535,3.560574606
0.63,0.23,8038.706872,3.905186193
0.64,0.23,9002.925664,3.954383664
0.65,0.23,179781.5033,5.254745008
0.66,0.23,4174.276349,3.620581197
0.67,0.23,3378.603414,3.528737217
0.68,0.23,3556.377545,3.551007859
0.69,0.23,6134.273903,3.787763164
0.7,0.23,45144.35455,4.654603448
0.71,0.23,183639.7096,5.263966597
0.72,0.23,3986.149185,3.600553548
0.73,0.23,845.4368111,2.927081153
0.74,0.23,10074.59105,4.003227426
0.75,0.23,32874.34978,4.516857172
0.76,0.23,35576.29582,4.551160728
0.77,0.23,40334.96758,4.605681712
0.78,0.23,111556.3057,5.047494124
0.79,0.23,10891.15226,4.037073829
0.8,0.23,12214.62895,4.086880279
0.81,0.23,18709.96108,4.272072884
0.82,0.23,16975.62443,4.229825758
0.83,0.23,41655.79626,4.619675441
0.84,0.23,29634.7167,4.47180078
0.85,0.23,141163.4387,5.149722229
0.86,0.23,17601.61959,4.245552631
0.87,0.23,2171.619906,3.336783814
0.88,0.23,35172.50533,4.546203304
0.89,0.23,24799.96049,4.394450989
0.9,0.23,21593.23384,4.334317688
0.91,0.23,66651.47248,4.823809748
0.92,0.23,20558.589,4.312993304
0.93,0.23,29773.02435,4.473822953
0.94,0.23,74164.13473,4.870193934
0.95,0.23,41410.53194,4.617110809
0.96,0.23,55078.67426,4.740983478
0.97,0.23,12438.47866,4.094767266
0.98,0.23,16508.76417,4.217714564
0.99,0.23,31314.31129,4.495742864
1,0.23,8543.838085,3.931653009
0,0.24,0,#NAME?
0.01,0.24,0.204336219,-0.689654647
0.02,0.24,0,#NAME?
0.03,0.24,2.859494283,0.456289233
0.04,0.24,5.539814009,0.743495184
0.05,0.24,0.422760039,-0.37390607
0.06,0.24,0.440137917,-0.356411217
0.07,0.24,4.78102233,0.679520772
0.08,0.24,8.007645952,0.903504863
0.09,0.24,5.906495595,0.771329884
0.1,0.24,4.207727089,0.624047564
0.11,0.24,4.315337664,0.635014784
0.12,0.24,18.50460172,1.267279742
0.13,0.24,8.950692563,0.95185664
0.14,0.24,2.477980224,0.394097836
0.15,0.24,26.96531843,1.430805553
0.16,0.24,43.87059205,1.642173495
0.17,0.24,54.5302257,1.736637295
0.18,0.24,56.42191068,1.751447789
0.19,0.24,40.69318922,1.609521728
0.2,0.24,78.52207631,1.894991775
0.21,0.24,43.6641387,1.640124898
0.22,0.24,52.27465773,1.718291198
0.23,0.24,125.9910258,2.100339612
0.24,0.24,146.5833858,2.166084749
0.25,0.24,310.6746784,2.492305857
0.26,0.24,57.74141533,1.761487425
0.27,0.24,570.6238355,2.756349909
0.28,0.24,129.7281228,2.113034134
0.29,0.24,89.24621547,1.950589809
0.3,0.24,761.0186593,2.881395305
0.31,0.24,245.1540716,2.38943911
0.32,0.24,291.3802928,2.464460175
0.33,0.24,1138.29966,3.056256606
0.34,0.24,118.1228702,2.072333991
0.35,0.24,1522.643922,3.182598353
0.36,0.24,226.4209095,2.354916531
0.37,0.24,334.0395322,2.523797867
0.38,0.24,1486.717536,3.172228464
0.39,0.24,353.1455709,2.547953764
0.4,0.24,916.6838243,2.962219568
0.41,0.24,1637.906725,3.214289166
0.42,0.24,2970.247318,3.472792612
0.43,0.24,75.50525269,1.877977165
0.44,0.24,451.9753098,2.655114711
0.45,0.24,2227.249721,3.347768913
0.46,0.24,1564.828129,3.194466644
0.47,0.24,2530.152277,3.40314666
0.48,0.24,1089.258242,3.037130855
0.49,0.24,1020.016648,3.00860726
0.5,0.24,9100.357275,3.959058443
0.51,0.24,4466.29608,3.64994751
0.52,0.24,1834.592097,3.263539518
0.53,0.24,5634.041875,3.750820071
0.54,0.24,8265.868223,3.917288477
0.55,0.24,6475.181115,3.81125192
0.56,0.24,1631.53145,3.21259545
0.57,0.24,18966.12274,4.277978557
0.58,0.24,3705.728483,3.568873596
0.59,0.24,24350.73277,4.386512035
0.6,0.24,10911.82128,4.037897244
0.61,0.24,13391.24208,4.126820861
0.62,0.24,22264.30937,4.347609228
0.63,0.24,7649.546761,3.883635704
0.64,0.24,5446.433249,3.736112185
0.65,0.24,22689.38727,4.355822768
0.66,0.24,1296.439645,3.112752303
0.67,0.24,5274.147386,3.722152262
0.68,0.24,168220.5897,5.225879151
0.69,0.24,42444.99949,4.627826533
0.7,0.24,5467.183906,3.737763683
0.71,0.24,5441.102202,3.735686883
0.72,0.24,27449.20025,4.438529695
0.73,0.24,8940.559346,3.95136469
0.74,0.24,1864.364184,3.270530751
0.75,0.24,14326.69188,4.156145921
0.76,0.24,39245.89967,4.593794289
0.77,0.24,1587.465137,3.200704196
0.78,0.24,23604.90299,4.37300222
0.79,0.24,271.9814927,2.434539353
0.8,0.24,9320.793453,3.969452884
0.81,0.24,51481.21208,4.711648763
0.82,0.24,54383.73715,4.735469048
0.83,0.24,45273.51659,4.655844229
0.84,0.24,51763.46471,4.714023337
0.85,0.24,120648.9324,5.081523483
0.86,0.24,15209.17554,4.182105672
0.87,0.24,9065.758903,3.957404165
0.88,0.24,6749.839504,3.829293446
0.89,0.24,6226.869314,3.794269751
0.9,0.24,65563.14331,4.816659767
